remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
125,1546300800,0,0,0,0,1,-0.4192981861043337,-0.9507477329561929
125,1546315200,34,60,26,94,1,-0.16378835394700536,-0.609484704525331
125,1546329600,16,22,6,38,1,-0.36033437868341184,-0.8127903384841423
125,1546344000,50,62,12,112,1,-0.3013705712624899,-0.5441364650385703
125,1546358400,79,122,43,201,1,0.003275767078940131,-0.2210257253540309
125,1546372800,120,73,0,193,1,-0.4192981861043337,-0.2500693873481468
125,1546387200,50,24,0,74,1,-0.4192981861043337,-0.6820938595106207
125,1546401600,9,7,0,16,1,-0.4192981861043337,-0.8926604089679611
125,1546416000,37,117,80,154,1,0.3668859128412921,-0.3916572395694618
125,1546430400,113,452,339,565,1,2.9121569331777555,1.1004608953782424
125,1546444800,329,157,0,486,1,-0.4192981861043337,0.813654733186348
125,1546459200,780,118,0,898,1,-0.4192981861043337,2.309403325883317
125,1546473600,129,45,0,174,1,-0.4192981861043337,-0.31904808458417205
125,1546488000,31,11,0,42,1,-0.4192981861043337,-0.7982685074870843
125,1546502400,42,128,86,170,1,0.425849720262214,-0.33356991558123
125,1546516800,121,415,294,536,1,2.469928377520841,0.9951776206495723
125,1546531200,311,133,0,444,1,-0.4192981861043337,0.6611755077172395
125,1546545600,821,102,0,923,1,-0.4192981861043337,2.400164769614929
125,1546560000,120,49,0,169,1,-0.4192981861043337,-0.3372003733304945
125,1546574400,30,12,0,42,1,-0.4192981861043337,-0.7982685074870843
125,1546588800,42,104,62,146,1,0.18999449057852627,-0.4207009015635777
125,1546603200,125,454,329,579,1,2.8138839208095523,1.1512873038679452
125,1546617600,295,177,0,472,1,-0.4192981861043337,0.7628283246966452
125,1546632000,754,114,0,868,1,-0.4192981861043337,2.200489593405382
125,1546646400,119,43,0,162,1,-0.4192981861043337,-0.3626135775753459
125,1546660800,35,10,0,45,1,-0.4192981861043337,-0.7873771342392909
125,1546675200,11,22,11,33,1,-0.3111978724993102,-0.8309426272304647
125,1546689600,59,52,0,111,1,-0.4192981861043337,-0.5477669227878348
125,1546704000,105,84,0,189,1,-0.4192981861043337,-0.26459121834520477
125,1546718400,107,45,0,152,1,-0.4192981861043337,-0.3989181550679908
125,1546732800,52,39,0,91,1,-0.4192981861043337,-0.6203760777731245
125,1546747200,18,19,1,37,1,-0.40947088486751343,-0.8164207962334068
125,1546761600,17,12,0,29,1,-0.4192981861043337,-0.8454644582275227
125,1546776000,51,36,0,87,1,-0.4192981861043337,-0.6348979087701825
125,1546790400,105,79,0,184,1,-0.4192981861043337,-0.2827435070915272
125,1546804800,82,79,0,161,1,-0.4192981861043337,-0.3662440353246104
125,1546819200,42,26,0,68,1,-0.4192981861043337,-0.7038766060062077
125,1546833600,11,4,0,15,1,-0.4192981861043337,-0.8962908667172256
125,1546848000,36,122,86,158,1,0.425849720262214,-0.37713540857240385
125,1546862400,112,529,417,641,1,3.6786864296497406,1.3763756843223436
125,1546876800,304,134,0,438,1,-0.4192981861043337,0.6393927612216526
125,1546891200,905,97,0,1002,1,-0.4192981861043337,2.6869709318068233
125,1546905600,98,30,0,128,2,-0.3916341995105075,-0.3433413604863342
125,1546920000,1,5,4,6,2,-0.3555296382240074,-0.6751490299720273
125,1546934400,32,94,62,126,2,0.16798650043024332,-0.3487808304779029
125,1546948800,127,511,384,638,2,3.074403683993497,1.0437234873636942
125,1546963200,305,121,0,426,2,-0.3916341995105075,0.46713966825740794
125,1546977600,887,125,0,1012,2,-0.3916341995105075,2.0609043757870484
125,1546992000,103,30,0,133,2,-0.3916341995105075,-0.3297426855074123
125,1547006400,1,3,2,4,2,-0.37358191886725745,-0.680588499963596
125,1547020800,42,143,101,185,2,0.5200059729736188,-0.1883164657266251
125,1547035200,142,524,382,666,2,3.0563514033502472,1.1198760672456565
125,1547049600,335,123,0,458,2,-0.3916341995105075,0.5541711881225078
125,1547064000,929,118,0,1047,2,-0.3916341995105075,2.1560951006395013
125,1547078400,109,18,0,127,2,-0.3916341995105075,-0.34606109548211855
125,1547092800,1,5,4,6,2,-0.3555296382240074,-0.6751490299720273
125,1547107200,41,119,78,160,2,0.31240474557624354,-0.25630984062123435
125,1547121600,121,553,432,674,2,3.5076584194314977,1.1416339472119315
125,1547136000,358,145,0,503,2,-0.3916341995105075,0.6765592629328044
125,1547149491,812,123,0,935,2,-0.3916341995105075,1.851484781111652
125,1547149571,2,0,0,2,2,-0.3916341995105075,-0.6860279699551648
125,1547149652,1,0,0,1,2,-0.3916341995105075,-0.6887477049509492
125,1547149732,2,5,3,7,2,-0.3645557785456324,-0.6724292949762429
125,1547149813,1,0,0,1,2,-0.3916341995105075,-0.6887477049509492
125,1547149894,1,0,0,1,2,-0.3916341995105075,-0.6887477049509492
125,1547149975,1,0,0,1,2,-0.3916341995105075,-0.6887477049509492
125,1547150055,3,0,0,3,2,-0.3916341995105075,-0.6833082349593804
125,1547150136,3,1,0,4,2,-0.3916341995105075,-0.680588499963596
125,1547150217,4,0,0,4,2,-0.3916341995105075,-0.680588499963596
125,1547150297,3,0,0,3,2,-0.3916341995105075,-0.6833082349593804
125,1547150378,1,0,0,1,2,-0.3916341995105075,-0.6887477049509492
125,1547150400,1257,7,0,1264,2,-0.3916341995105075,2.7462775947247096
125,1547164800,108,37,0,145,2,-0.3916341995105075,-0.2971058655579999
125,1547179200,3,11,8,14,2,-0.3194250769375074,-0.6533911500057523
125,1547193600,38,122,84,160,2,0.3665615875059936,-0.25630984062123435
125,1547208000,135,467,332,602,2,2.6050443872689963,0.9458130275154569
125,1547222400,437,136,0,573,2,-0.3916341995105075,0.8669407126377102
125,1547236800,1215,112,0,1327,2,-0.3916341995105075,2.9176208994591253
125,1547251200,94,23,0,117,2,-0.3916341995105075,-0.3732584454399622
125,1547265600,0,0,0,0,2,-0.3916341995105075,-0.6914674399467335
125,1547280000,2,1,0,3,2,-0.3916341995105075,-0.6833082349593804
