remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
453,1546311600,96,121,25,217,1,-0.5362932369333606,-0.7208646339980437
453,1546326000,25,20,0,45,1,-0.6148737419263872,-0.9825625140926145
453,1546340400,31,104,73,135,1,-0.38541866734674957,-0.8456275768338275
453,1546354800,144,233,89,377,1,-0.33512714415121253,-0.47742474553797765
453,1546369200,229,300,71,529,1,-0.3917051077461917,-0.24615685150091499
453,1546383600,106,160,54,266,1,-0.44513985114144977,-0.6463111681571484
453,1546398000,33,37,4,70,1,-0.602300861127503,-0.9445250315207293
453,1546412400,10,129,119,139,1,-0.2408305381595806,-0.8395415796223258
453,1546426800,129,1196,1067,1325,1,2.7389422111759885,0.9649565935879132
453,1546441200,320,657,337,977,1,0.44439146537961144,0.43547483618726973
453,1546455600,976,1069,93,2045,1,-0.3225542633523283,2.06043609165821
453,1546470000,408,346,0,754,1,-0.6148737419263872,0.09618049164605277
453,1546484400,0,2,2,2,1,-0.6085873015269452,-1.0479869841162572
453,1546498800,9,113,104,122,1,-0.28797884115539657,-0.8654070677712078
453,1546513200,168,1268,1100,1436,1,2.8426684777667837,1.133843016207084
453,1546527600,314,765,451,1079,1,0.8027185681478127,0.5906677650805617
453,1546542000,1058,1094,36,2152,1,-0.501717814736429,2.2232365170658794
453,1546556400,479,461,0,940,1,-0.6148737419263872,0.3791793619808795
453,1546570800,1,3,2,4,1,-0.6085873015269452,-1.0449439855105065
453,1546585200,12,141,129,153,1,-0.20939833616236997,-0.81824058938207
453,1546599600,187,1257,1070,1444,1,2.7483718717751517,1.1460150106300873
453,1546614000,434,831,397,1265,1,0.6329846773628753,0.8736666354153885
453,1546628400,1125,1209,84,2334,1,-0.35084324514981785,2.5001493901892045
453,1546642800,517,419,0,936,1,-0.6148737419263872,0.3730933647693778
453,1546657200,130,49,0,179,1,-0.6148737419263872,-0.7786816075073093
453,1546671600,10,9,0,19,1,-0.6148737419263872,-1.0221214959673752
453,1546686000,97,387,290,484,1,0.2966601159927214,-0.31462432013030855
453,1546700400,209,459,250,668,1,0.17093130800387882,-0.034668448401232684
453,1546714800,341,405,64,746,1,-0.41370764914423913,0.08400849722304948
453,1546729200,190,182,0,372,1,-0.6148737419263872,-0.48503224205235473
