remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
33,1546311600,432,106,0,538,1,-0.4118591704988429,-0.937674466754766
33,1546326000,239,80,0,319,1,-0.4118591704988429,-1.154883768520458
33,1546340400,219,273,54,492,1,-0.29039017196940525,-0.9832983383585187
33,1546354800,539,835,296,1374,1,0.25397089551437096,-0.10851019152134764
33,1546369200,977,1409,432,2386,1,0.5598928177366584,0.8952149837612114
33,1546383600,1147,535,0,1682,1,-0.4118591704988429,0.1969713835646486
33,1546398000,456,82,0,538,1,-0.4118591704988429,-0.937674466754766
33,1546412400,196,267,71,463,1,-0.2521499316916193,-1.0120612139347975
33,1546426800,810,2236,1426,3046,1,2.7958221610377887,1.549818358945489
33,1546441200,798,1009,211,1807,1,0.06276969412544132,0.32094929553136786
33,1546455600,1832,1440,0,3272,1,-0.4118591704988429,1.7739704237813174
33,1546470000,1153,595,0,1748,1,-0.4118591704988429,0.2624317210830764
33,1546484400,578,110,0,688,1,-0.4118591704988429,-0.7889009723947029
33,1546498800,229,221,0,450,1,-0.4118591704988429,-1.0249549167793364
33,1546513200,989,2406,1417,3395,1,2.7755773279495495,1.8959646891565691
33,1546527600,865,770,0,1635,1,-0.4118591704988429,0.15035568866516216
33,1546542000,1842,1424,0,3266,1,-0.4118591704988429,1.768019484006915
33,1546556400,1383,462,0,1845,1,-0.4118591704988429,0.3586385807692505
33,1546570800,476,94,0,570,1,-0.4118591704988429,-0.9059361212912859
33,1546585200,218,231,13,449,1,-0.3826166338158301,-1.0259467400750701
33,1546599600,898,2368,1470,3266,1,2.894796900580294,1.768019484006915
33,1546614000,895,714,0,1609,1,-0.4118591704988429,0.12456828297608456
33,1546628400,1711,1268,0,2979,1,-0.4118591704988429,1.4833661981313275
33,1546642800,1106,585,0,1691,1,-0.4118591704988429,0.2058977932262524
33,1546657200,753,131,0,884,1,-0.4118591704988429,-0.5945036064308871
33,1546671600,91,97,6,188,1,-0.39836261510668314,-1.28481262026158
33,1546686000,296,359,63,655,1,-0.2701453388811656,-0.8216311411539168
33,1546700400,597,889,292,1486,1,0.24497319191959782,0.0025740176008328163
33,1546714800,1427,1192,0,2619,1,-0.4118591704988429,1.1263098116671761
33,1546729200,881,651,0,1532,1,-0.4118591704988429,0.0481978892045855
33,1546743600,612,128,0,740,1,-0.4118591704988429,-0.7373261610165477
33,1546758000,108,58,0,166,1,-0.4118591704988429,-1.3066327327677225
33,1546772400,261,264,3,525,1,-0.405110892802763,-0.9505681695993048
33,1546786800,540,726,186,1266,1,0.0065340466581090655,-0.21562710746059308
33,1546801200,1108,797,0,1905,1,-0.4118591704988429,0.41814797851327573
33,1546815600,954,354,0,1308,1,-0.4118591704988429,-0.1739705290397754
33,1546830000,359,64,0,423,1,-0.4118591704988429,-1.0517341457641478
33,1546844400,235,237,2,472,1,-0.40736031870145634,-1.0031348042731938
33,1546858800,821,2569,1748,3390,1,3.520137300417028,1.8910055726779005
33,1546873200,772,582,0,1354,1,-0.4118591704988429,-0.12834665743602272
33,1546887600,1774,904,0,2678,1,-0.4118591704988429,1.1848273861154677
33,1546902000,866,338,0,1204,1,-0.4118591704988429,-0.2771201517960858
33,1546916400,428,96,0,524,2,-0.40119816773398037,-0.9505872632711133
33,1546930800,251,247,0,498,2,-0.40119816773398037,-0.9747288812880456
33,1546945200,995,2676,1681,3671,2,2.597467197325779,1.971477040547579
33,1546959600,766,592,0,1358,2,-0.40119816773398037,-0.1761984391895152
33,1546974000,1774,1122,0,2896,2,-0.40119816773398037,1.2518711188890195
33,1546988400,1241,393,0,1634,2,-0.40119816773398037,0.08007412129792013
33,1547002800,384,97,0,481,2,-0.40119816773398037,-0.9905137853760398
33,1547017200,214,232,18,446,2,-0.3690887230159104,-1.0230121173219102
33,1547031600,925,2697,1772,3622,2,2.7597982789560214,1.9259793758233603
33,1547046000,820,775,0,1595,2,-0.40119816773398037,0.043861694272521665
33,1547060400,1905,1082,0,2987,2,-0.40119816773398037,1.3363667819482825
33,1547074800,1274,379,0,1653,2,-0.40119816773398037,0.09771607292567837
33,1547089200,393,93,0,486,2,-0.40119816773398037,-0.9858711665266298
33,1547103600,203,229,26,432,2,-0.3548178586967682,-1.0360114501002584
33,1547118000,846,2620,1774,3466,2,2.763365995035807,1.7811296677217663
33,1547132400,767,564,0,1331,2,-0.40119816773398037,-0.20126858097632952
33,1547146800,1820,1234,0,3054,2,-0.40119816773398037,1.3985778745303772
33,1547161200,1342,417,0,1759,2,-0.40119816773398037,0.19613959253317165
33,1547175600,415,83,0,498,2,-0.40119816773398037,-0.9747288812880456
33,1547190000,211,196,0,407,2,-0.40119816773398037,-1.0592245443473087
33,1547204400,894,2477,1583,3371,2,2.4226491094162865,1.6929199095829752
33,1547218800,789,632,0,1421,2,-0.40119816773398037,-0.11770144168694843
33,1547233200,1803,1155,0,2958,2,-0.40119816773398037,1.3094395926217042
33,1547247600,1152,554,0,1706,2,-0.40119816773398037,0.146927832729425
33,1547262000,638,116,0,754,2,-0.40119816773398037,-0.7370267961982505
33,1547276400,120,91,0,211,2,-0.40119816773398037,-1.241215203244183
33,1547290800,345,374,29,719,2,-0.34946628457708984,-0.7695251281441209
33,1547305200,643,926,283,1569,2,0.10363365755567566,0.019720076255589348
33,1547319600,1227,1019,0,2246,2,-0.40119816773398037,0.6483306684657115
33,1547334000,1201,694,0,1895,2,-0.40119816773398037,0.3224188252371253
33,1547348400,623,137,0,760,2,-0.40119816773398037,-0.7314556535789585
33,1547362800,96,64,0,160,2,-0.40119816773398037,-1.2885699155081656
33,1547377200,248,279,31,527,2,-0.34589856849730427,-0.9478016919614672
33,1547391600,502,823,321,1325,2,0.17142026307160121,-0.2068397235956216
33,1547406000,1113,713,0,1826,2,-0.40119816773398037,0.25835068511526643
33,1547420400,813,298,0,1111,2,-0.40119816773398037,-0.4055438103503722
33,1547434800,312,61,0,373,2,-0.40119816773398037,-1.090794352523297
33,1547449200,190,243,53,433,2,-0.30665369161966316,-1.0350829263303765
33,1547463600,754,2629,1875,3383,2,2.9435356570649773,1.7040621948215593
33,1547478000,724,567,0,1291,2,-0.40119816773398037,-0.23840953177161
33,1547492400,1949,855,0,2804,2,-0.40119816773398037,1.1664469320598743
33,1547506800,1008,357,0,1365,2,-0.40119816773398037,-0.16969877280034112
33,1547521200,342,85,0,427,3,-0.4642064970666086,-1.008252477969893
33,1547535600,256,265,9,521,3,-0.4401727953968129,-0.8975843391954711
33,1547541631,92,1015,923,1107,3,2.0005831297357672,-0.20767445279322452
33,1547550000,827,1545,718,2372,3,1.4531488139237554,1.2816361381604306
33,1547564400,682,665,0,1347,3,-0.4642064970666086,0.07488249726912903
33,1547578800,1844,1188,0,3032,3,-0.4642064970666086,2.0586677508319027
33,1547593200,1255,378,0,1633,3,-0.4642064970666086,0.4115961960934337
33,1547607600,374,80,0,454,3,-0.4642064970666086,-0.9764648210878781
33,1547622000,243,230,0,473,3,-0.4642064970666086,-0.9540957292079417
33,1547622015,1,0,0,1,3,-0.4642064970666086,-1.5097910643305703
33,1547627184,77,725,648,802,3,1.266220023158678,-0.5667572434974655
