remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
300,1546311600,471,290,0,761,1,-0.31086105951315895,-0.24468938268156526
300,1546326000,128,62,0,190,1,-0.31086105951315895,-1.035757160447715
300,1546340400,154,168,14,322,1,0.014381472504167485,-0.8528833484247171
300,1546354800,478,417,0,895,1,-0.31086105951315895,-0.05904475532488563
300,1546369200,583,584,1,1167,1,-0.2876294500833499,0.31778613005583717
300,1546383600,370,372,2,742,1,-0.2643978406535409,-0.2710121283515422
300,1546398000,102,80,0,182,1,-0.31086105951315895,-1.046840421782442
300,1546412400,114,128,14,242,1,0.014381472504167485,-0.9637159617719886
300,1546426800,1188,733,0,1921,1,-0.31086105951315895,1.3623835108538702
300,1546441200,609,597,0,1206,1,-0.31086105951315895,0.371817029062632
300,1546455600,1077,1122,45,2199,1,0.7345613648282474,1.7475268422356383
300,1546470000,674,615,0,1289,1,-0.31086105951315895,0.4868058654104261
300,1546484400,140,46,0,186,1,-0.31086105951315895,-1.0412987911150786
300,1546498800,110,115,5,225,1,-0.19470301236411378,-0.9872678921082837
300,1546513200,1381,738,0,2119,1,-0.31086105951315895,1.6366942288883668
300,1546527600,613,572,0,1185,1,-0.31086105951315895,0.34272346805897325
300,1546542000,1100,1163,63,2263,1,1.1527303345648099,1.8361929329134554
300,1546556400,724,842,118,1566,1,2.4304688532043066,0.8705637891253534
300,1546570800,174,45,0,219,1,-0.31086105951315895,-0.9955803381093291
300,1546585200,121,118,0,239,1,-0.31086105951315895,-0.9678721847725112
300,1546599600,1305,782,0,2087,1,-0.31086105951315895,1.5923611835494582
300,1546614000,660,556,0,1216,1,-0.31086105951315895,0.3856711057310409
300,1546628400,1163,1413,250,2576,1,5.497041297939099,2.269825532634655
300,1546642800,799,849,50,1648,1,0.8507194119772926,0.9841672178063066
300,1546657200,322,58,0,380,1,-0.31086105951315895,-0.7725297037479454
300,1546671600,81,41,0,122,1,-0.31086105951315895,-1.1299648817928958
300,1546686000,245,150,0,395,1,-0.31086105951315895,-0.751748588745332
300,1546700400,495,350,0,845,1,-0.31086105951315895,-0.12831513866693026
300,1546714800,622,311,0,933,1,-0.31086105951315895,-0.006399263984931705
300,1546729200,408,285,0,693,1,-0.31086105951315895,-0.33889710402674594
300,1546743600,297,73,0,370,1,-0.31086105951315895,-0.7863837804163543
300,1546758000,73,44,0,117,1,-0.31086105951315895,-1.1368919201271002
300,1546772400,169,156,0,325,1,-0.31086105951315895,-0.8487271254241945
300,1546786800,425,311,0,736,1,-0.31086105951315895,-0.27932457435258756
300,1546801200,504,228,0,732,1,-0.31086105951315895,-0.28486620501995114
300,1546815600,327,143,0,470,1,-0.31086105951315895,-0.647843013732265
300,1546830000,110,32,0,142,1,-0.31086105951315895,-1.1022567284560778
300,1546844400,110,98,0,208,1,-0.31086105951315895,-1.010819822444579
300,1546858800,1404,694,0,2098,1,-0.31086105951315895,1.6076006678847081
300,1546873200,535,448,0,983,1,-0.31086105951315895,0.06287111935711293
300,1546887600,1040,974,0,2014,1,-0.31086105951315895,1.4912264238700732
300,1546902000,608,564,0,1172,1,-0.31086105951315895,0.32471316839004166
300,1546916400,165,72,0,237,2,-0.4813428077033386,-1.1952040588599688
300,1546930800,121,101,0,222,2,-0.4813428077033386,-1.2140073690630349
300,1546945200,1449,806,0,2255,2,-0.4813428077033386,1.334467940459185
300,1546959600,513,571,58,1084,2,0.7917854002937654,-0.13344380939350534
300,1546974000,1115,1182,67,2297,2,0.9893397773967643,1.38711720902777
300,1546988400,676,787,111,1463,2,1.9551611765669812,0.3416531617372971
300,1547002800,142,90,0,232,2,-0.4813428077033386,-1.2014718289276574
300,1547017200,137,133,0,270,2,-0.4813428077033386,-1.1538367764132234
300,1547031600,1512,722,0,2234,2,-0.4813428077033386,1.3081433061748924
300,1547046000,614,528,0,1142,2,-0.4813428077033386,-0.06073767660831657
300,1547060400,1174,1154,0,2328,2,-0.4813428077033386,1.4259773834474399
