remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
39,1546311600,84,31,0,115,1,-0.16894518617918478,-1.0610375966245207
39,1546326000,96,11,0,107,1,-0.16894518617918478,-1.0870108322697078
39,1546340400,206,29,0,235,1,-0.16894518617918478,-0.6714390619467133
39,1546354800,300,49,0,349,1,-0.16894518617918478,-0.3013204540027962
39,1546369200,374,83,0,457,1,-0.16894518617918478,0.049318227207230426
39,1546383600,167,78,0,245,1,-0.16894518617918478,-0.6389725173902293
39,1546398000,34,22,0,56,1,-0.16894518617918478,-1.252590209507776
39,1546412400,309,16,0,325,1,-0.16894518617918478,-0.3792401609383577
39,1546426800,816,96,0,912,1,-0.16894518617918478,1.52654600452725
39,1546441200,463,79,0,542,1,-0.16894518617918478,0.325283855937344
39,1546455600,544,460,0,1004,1,-0.16894518617918478,1.8252382144469024
39,1546470000,258,170,0,428,1,-0.16894518617918478,-0.04483475200657303
39,1546484400,46,39,0,85,1,-0.16894518617918478,-1.1584372302939725
39,1546498800,348,27,0,375,1,-0.16894518617918478,-0.21690743815593796
39,1546513200,873,103,0,976,1,-0.16894518617918478,1.7343318896887472
39,1546527600,458,98,0,556,1,-0.16894518617918478,0.37073701831642153
39,1546542000,569,457,0,1026,1,-0.16894518617918478,1.896664612471167
39,1546556400,245,175,0,420,1,-0.16894518617918478,-0.07080798765176019
39,1546570800,43,44,1,87,1,0.37687772301510447,-1.1519439213826757
39,1546585200,303,18,0,321,1,-0.16894518617918478,-0.3922267787609513
39,1546599600,904,117,0,1021,1,-0.16894518617918478,1.8804313401929251
39,1546614000,484,99,0,583,1,-0.16894518617918478,0.4583966886189282
39,1546628400,613,463,0,1076,1,-0.16894518617918478,2.058997335253587
39,1546642800,262,184,0,446,1,-0.16894518617918478,0.01360502819509808
39,1546657200,32,44,12,76,1,6.380929724152286,-1.187657120394808
39,1546671600,124,12,0,136,1,-0.16894518617918478,-0.9928578530559043
39,1546686000,344,41,0,385,1,-0.16894518617918478,-0.184440893599454
39,1546700400,387,67,0,454,1,-0.16894518617918478,0.03957826384028524
39,1546714800,365,112,0,477,1,-0.16894518617918478,0.11425131632019833
39,1546729200,235,92,0,327,1,-0.16894518617918478,-0.3727468520270609
39,1546743600,79,30,0,109,1,-0.16894518617918478,-1.080517523358411
39,1546758000,76,5,0,81,1,-0.16894518617918478,-1.1714238481165662
39,1546772400,288,46,0,334,1,-0.16894518617918478,-0.3500202708375222
39,1546786800,359,68,0,427,1,-0.16894518617918478,-0.04808140646222143
39,1546801200,402,95,0,497,1,-0.16894518617918478,0.17918440543316624
39,1546815600,178,63,0,241,1,-0.16894518617918478,-0.6519591352128229
39,1546830000,34,31,0,65,1,-0.16894518617918478,-1.2233703194069405
39,1546844400,307,27,0,334,1,-0.16894518617918478,-0.3500202708375222
39,1546858800,859,126,0,985,1,-0.16894518617918478,1.7635517797895828
39,1546873200,418,77,0,495,1,-0.16894518617918478,0.17269109652186945
39,1546887600,532,458,0,990,1,-0.16894518617918478,1.779785052067825
39,1546902000,224,172,0,396,1,-0.16894518617918478,-0.14872769458732168
39,1546916400,46,38,0,84,2,-0.1561737618886061,-1.1978499321759302
39,1546930800,323,17,0,340,2,-0.1561737618886061,-0.3867098345089947
39,1546945200,864,107,0,971,2,-0.1561737618886061,1.6126237655997409
39,1546959600,466,87,0,553,2,-0.1561737618886061,0.2881840748779477
39,1546974000,586,481,0,1067,2,-0.1561737618886061,1.9168013022248416
39,1546988400,308,182,0,490,2,-0.1561737618886061,0.08856756646772532
39,1547002800,49,37,0,86,2,-0.1561737618886061,-1.1915129001629072
39,1547017200,314,9,0,323,2,-0.1561737618886061,-0.4405746066196896
39,1547031600,842,125,0,967,2,-0.1561737618886061,1.599949701573695
39,1547046000,467,90,0,557,2,-0.1561737618886061,0.3008581389039936
39,1547060400,536,432,0,968,2,-0.1561737618886061,1.6031182175802063
39,1547074800,218,178,0,396,2,-0.1561737618886061,-0.20927293814435255
39,1547089200,37,37,0,74,2,-0.1561737618886061,-1.2295350922410448
39,1547103600,305,13,0,318,2,-0.1561737618886061,-0.45641718665224695
