remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
203,1546311600,138,120,0,258,1,-0.4055126866629853,-0.4514190272665843
203,1546326000,34,31,0,65,1,-0.4055126866629853,-0.7513782563036309
203,1546340400,52,89,37,141,1,-0.24733831038932083,-0.6332595961646903
203,1546354800,200,220,20,420,1,-0.32001302381235586,-0.19963977802305288
203,1546369200,288,292,4,580,1,-0.3884127540928594,0.049031085427348464
203,1546383600,131,120,0,251,1,-0.4055126866629853,-0.46229837754253933
203,1546398000,47,21,0,68,1,-0.4055126866629853,-0.7467156776139359
203,1546412400,28,91,63,119,1,-0.1361887486835026,-0.6674518398891204
203,1546426800,419,1309,890,1728,1,3.399222310190024,1.8332445306839782
203,1546441200,460,501,41,961,1,-0.23023837781919496,0.6411785790186166
203,1546455600,950,573,0,1523,1,-0.4055126866629853,1.5146349868881515
203,1546470000,456,201,0,657,1,-0.4055126866629853,0.1687039384628541
203,1546484400,67,34,0,101,1,-0.4055126866629853,-0.6954273120272906
203,1546498800,38,98,60,136,1,-0.14901369811109702,-0.6410305606475153
203,1546513200,513,1307,794,1820,1,2.9888239285070024,1.976230277167959
203,1546527600,498,619,121,1117,1,0.11176027358332273,0.883632670882758
203,1546542000,954,577,0,1531,1,-0.4055126866629853,1.5270685300606714
203,1546556400,511,236,0,747,1,-0.4055126866629853,0.30858129915370486
203,1546570800,100,34,0,134,1,-0.4055126866629853,-0.6441389464406453
203,1546585200,32,88,56,120,1,-0.1661136306812229,-0.6658976469925554
203,1546599600,533,1251,718,1784,1,2.663925209674611,1.9202793328916186
203,1546614000,478,615,137,1093,1,0.18016000386382627,0.8463320413651978
203,1546628400,936,600,0,1536,1,-0.4055126866629853,1.5348394945434964
203,1546642800,368,278,0,646,1,-0.4055126866629853,0.15160781660063902
203,1546657200,1,1,0,2,1,-0.4055126866629853,-0.8492924087872264
203,1546671600,0,1,1,1,1,-0.4012377035204538,-0.8508466016837914
203,1546686000,0,24,24,24,1,-0.30291309124223,-0.8151001650627963
203,1546700400,0,17,17,17,1,-0.3328379732399503,-0.8259795153387512
203,1546714800,0,1,1,1,1,-0.4012377035204538,-0.8508466016837914
203,1546729200,1,3,2,4,1,-0.39696272037792235,-0.8461840229940965
203,1546743600,1,0,0,1,1,-0.4055126866629853,-0.8508466016837914
203,1546758000,0,1,1,1,1,-0.4012377035204538,-0.8508466016837914
203,1546772400,2,16,14,18,1,-0.34566292266754467,-0.8244253224421862
203,1546786800,0,5,5,5,1,-0.3841377709503279,-0.8446298300975315
203,1546801200,0,13,13,13,1,-0.34993790581007617,-0.8321962869250114
203,1546815600,0,1,1,1,1,-0.4012377035204538,-0.8508466016837914
203,1546830000,0,0,0,0,1,-0.4055126866629853,-0.8524007945803564
203,1546844400,26,110,84,136,1,-0.046414102690341706,-0.6410305606475153
203,1546858800,615,1439,824,2054,1,3.117073422782947,2.339911414964171
203,1546873200,489,545,56,1034,1,-0.1661136306812229,0.7546346604678623
203,1546887600,948,532,0,1480,1,-0.4055126866629853,1.447804692335856
203,1546902000,505,202,0,707,1,-0.4055126866629853,0.24641358329110455
203,1546916400,76,25,0,101,2,-0.48608389886835096,-0.9788139113378973
203,1546930800,37,123,86,160,2,-0.16162782666552153,-0.8915122926395814
203,1546933919,83,150,67,233,2,-0.23330998215219315,-0.7834950356060719
203,1546945200,531,1279,748,1810,2,2.3359293802911423,1.549973654008235
203,1546945687,11,31,20,42,2,-0.41062899835606503,-1.066115530036213
203,1546959600,432,599,167,1031,2,0.1439645204092364,0.39729634949996284
203,1546974000,1004,596,0,1600,2,-0.48608389886835096,1.239239078980331
203,1546988400,512,207,0,719,2,-0.48608389886835096,-0.06436644768435153
203,1547002800,108,32,0,140,2,-0.48608389886835096,-0.921106061689858
203,1547017200,43,114,71,157,2,-0.218219002049736,-0.8959513579971229
203,1547031600,610,1453,843,2063,2,2.6943401577245,1.9243348324942333
203,1547046000,486,584,98,1070,2,-0.11635488635814999,0.4550041991480021
203,1547060400,1014,621,0,1635,2,-0.48608389886835096,1.291028174818315
203,1547074800,522,233,0,755,2,-0.48608389886835096,-0.01109766339385371
203,1547089200,90,23,0,113,2,-0.48608389886835096,-0.9610576499077313
203,1547103600,38,108,70,146,2,-0.22199174707535027,-0.9122279309747751
203,1547118000,649,1582,933,2231,2,3.033887210029787,2.1729224925165567
203,1547132400,494,647,153,1141,2,0.09114609005063627,0.5600620792764839
203,1547146800,1060,667,0,1727,2,-0.48608389886835096,1.4271595124495873
203,1547161200,493,237,0,730,2,-0.48608389886835096,-0.04808987470669941
203,1547175600,106,23,0,129,2,-0.48608389886835096,-0.93738263466751
203,1547190000,33,109,76,142,2,-0.1993552769216645,-0.9181466847848303
203,1547204400,584,1480,896,2064,2,2.894295644082058,1.9258145209467472
203,1547218800,492,551,59,1043,2,-0.26349194235710754,0.4150526109301288
203,1547233200,1036,601,0,1637,2,-0.48608389886835096,1.2939875517233426
203,1547247600,470,315,0,785,2,-0.48608389886835096,0.03329299018156113
203,1547262000,158,60,0,218,2,-0.48608389886835096,-0.8056903623937793
203,1547276400,32,31,0,63,2,-0.48608389886835096,-1.0350420725334228
203,1547290800,122,223,101,345,2,-0.10503665128130711,-0.6177699289245232
203,1547305200,280,405,125,685,2,-0.014490770666564009,-0.11467585506982167
203,1547319600,407,404,0,811,2,-0.48608389886835096,0.07176488994692067
203,1547334000,251,217,0,468,2,-0.48608389886835096,-0.43576824926532237
203,1547348400,113,52,0,165,2,-0.48608389886835096,-0.8841138503770123
203,1547362800,27,29,2,56,2,-0.4785384088171224,-1.0453998917010194
203,1547377200,77,140,63,217,2,-0.24840096225465033,-0.8071700508462932
203,1547391600,264,344,80,608,2,-0.1842642968192073,-0.22861186591338645
203,1547406000,309,249,0,558,2,-0.48608389886835096,-0.30259628853907783
203,1547420400,194,91,0,285,2,-0.48608389886835096,-0.7065512360753529
203,1547434800,51,16,0,67,2,-0.48608389886835096,-1.0291233187233675
203,1547449200,30,96,66,126,2,-0.23708272717780746,-0.9418217000250516
203,1547463600,623,1482,859,2105,2,2.754704078134329,1.9864817474998142
203,1547478000,480,566,86,1046,2,-0.16162782666552153,0.41949167628767026
203,1547492400,1045,548,0,1593,2,-0.48608389886835096,1.2288812598127343
203,1547506800,509,221,0,730,2,-0.48608389886835096,-0.04808987470669941
203,1547521200,87,37,0,124,3,-0.4715705329904278,-0.9161288781967855
203,1547535600,36,95,59,131,3,-0.2219866413308208,-0.9055788629132032
203,1547550000,642,1532,890,2174,3,3.293339019162966,2.173518454852303
203,1547564400,501,590,89,1091,3,-0.09507957777508841,0.5412803759780772
203,1547578800,1037,603,0,1640,3,-0.4715705329904278,1.3687030032190282
203,1547593200,550,218,0,768,3,-0.4715705329904278,0.05447252789278179
203,1547607600,77,37,0,114,3,-0.4715705329904278,-0.931200328601903
203,1547622000,37,109,72,146,3,-0.1669935804566701,-0.882971687305527
203,1547636400,707,1591,884,2298,3,3.2679576064518194,2.36040443987576
203,1547650800,532,644,112,1176,3,0.002215837617639749,0.669387704421576
203,1547665200,1035,589,0,1624,3,-0.4715705329904278,1.3445886825708402
203,1547679600,516,253,0,769,3,-0.4715705329904278,0.05597967293329354
203,1547694000,61,20,0,81,3,-0.4715705329904278,-0.9809361149387907
203,1547708400,48,110,62,158,3,-0.20929593497524754,-0.864885946819386
203,1547722800,693,1504,811,2197,3,2.959150418466204,2.208182790784073
203,1547737200,517,611,94,1128,3,-0.07392840051579967,0.597044742477012
203,1547751600,1088,661,0,1749,3,-0.4715705329904278,1.532981812634809
203,1547766000,555,249,0,804,3,-0.4715705329904278,0.1087297493512048
203,1547780400,103,38,0,141,3,-0.4715705329904278,-0.8905074125080857
203,1547794800,39,99,60,138,3,-0.21775640587896303,-0.895028847629621
203,1547809200,580,1170,590,1750,3,2.024268383605642,1.5344889576753207
203,1547823600,535,597,62,1132,3,-0.20929593497524754,0.603073322639059
203,1547838000,1086,649,0,1735,3,-0.4715705329904278,1.5118817820676445
203,1547852400,469,291,0,760,3,-0.4715705329904278,0.04241536756868779
203,1547866800,134,52,0,186,3,-0.4715705329904278,-0.822685885685057
203,1547881200,27,24,0,51,3,-0.4715705329904278,-1.0261504661541434
203,1547895600,102,238,136,340,3,0.10374148846222565,-0.5905855494462474
203,1547910000,313,337,24,650,3,-0.3700448821458419,-0.12337058688760477
203,1547924400,388,352,0,740,3,-0.4715705329904278,0.012272466758452776
203,1547938800,226,168,0,394,3,-0.4715705329904278,-0.5091997172586129
203,1547953200,58,48,0,106,3,-0.4715705329904278,-0.943257488925997
203,1547967600,19,20,1,39,3,-0.46734029753857004,-1.0442362066402844
203,1547982000,54,118,64,172,3,-0.20083546407153205,-0.8437859162522214
203,1547996400,193,264,71,457,3,-0.17122381590852784,-0.4142495797063726
203,1548010800,302,244,0,546,3,-0.4715705329904278,-0.2801136711008268
203,1548025200,188,89,0,277,3,-0.4715705329904278,-0.6855356869984877
203,1548039600,41,23,0,64,3,-0.4715705329904278,-1.0065575806274905
203,1548054000,19,72,53,91,3,-0.24736805404196727,-0.9658646645336733
203,1548068400,186,632,446,818,3,1.4151144785381269,0.1298297799183693
203,1548082800,308,410,102,718,3,-0.04008651690093771,-0.020884724132805736
203,1548097200,489,394,0,883,3,-0.4715705329904278,0.2277942075516331
203,1548111600,261,117,0,378,3,-0.4715705329904278,-0.5333140379068009
203,1548126000,43,19,0,62,4,-0.5195401396633591,-1.091011006749187
203,1548140400,42,114,72,156,4,-0.216533508546291,-0.9527034752125402
203,1548154800,653,1497,844,2150,4,3.0323709250978275,1.981181821426541
203,1548169200,479,635,156,1114,4,0.13697422775695506,0.4568562610864768
203,1548183600,1018,537,0,1555,4,-0.5195401396633591,1.1057245739339365
203,1548198000,518,211,0,729,4,-0.5195401396633591,-0.10961607552638493
203,1548212400,75,24,0,99,4,-0.5195401396633591,-1.0365708081656133
203,1548226800,48,119,71,167,4,-0.2207419339784725,-0.9365185513093156
203,1548241200,667,1393,726,2060,4,2.5357767241004106,1.8487597167637941
203,1548255600,502,635,133,1137,4,0.040180442816780536,0.490697465611401
203,1548270000,1094,629,0,1723,4,-0.5195401396633591,1.3529125026377309
203,1548284400,545,219,0,764,4,-0.5195401396633591,-0.05811859037976114
203,1548298800,102,29,0,131,4,-0.5195401396633591,-0.9894873931744144
203,1548313200,39,118,79,157,4,-0.1870745305210205,-0.9512321184940652
203,1548327600,676,1354,678,2030,4,2.3337723033556985,1.8046190152095452
203,1548342000,449,614,165,1063,4,0.17485005664658856,0.38181706844425356
