remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
20,1546311600,340,97,0,437,1,-0.45286005098266097,-0.7637433181178622
20,1546326000,45,64,19,109,1,-0.4224381029496478,-1.110787153272781
20,1546340400,84,307,223,391,1,-0.09580245038466426,-0.8124140998773935
20,1546354800,493,702,209,1195,1,-0.11821862261951607,0.038266520441370695
20,1546369200,1095,1089,0,2184,1,-0.45286005098266097,1.0846883282712934
20,1546383600,873,429,0,1302,1,-0.45286005098266097,0.1514789910559326
20,1546398000,141,35,0,176,1,-0.45286005098266097,-1.0398971015795506
20,1546412400,30,309,279,339,1,-0.006137761445257013,-0.8674332444751246
20,1546426800,202,2500,2298,2702,1,3.2265945058523005,1.632763653302537
20,1546441200,764,970,206,1734,1,-0.12302208809841289,0.6085611154063134
20,1546455600,1995,855,0,2850,1,-0.45286005098266097,1.7893566033114638
20,1546470000,891,303,0,1194,1,-0.45286005098266097,0.0372084599683374
20,1546484400,151,37,0,188,1,-0.45286005098266097,-1.0272003759031512
20,1546498800,29,289,260,318,1,-0.03655970947827018,-0.8896525144088236
20,1546513200,209,2367,2158,2576,1,3.0024327835037825,1.4994480337003426
20,1546527600,685,869,184,1554,1,-0.15824750161032286,0.4181102302603214
20,1546542000,1905,884,0,2789,1,-0.45286005098266097,1.724814914456433
20,1546556400,1125,248,0,1373,1,-0.45286005098266097,0.2266012846412961
20,1546570800,209,40,0,249,1,-0.45286005098266097,-0.9626586870481205
20,1546585200,27,298,271,325,1,-0.01894700272231519,-0.8822460910975906
20,1546599600,204,2205,2001,2409,1,2.751051423441516,1.3227519347037833
20,1546614000,705,850,145,1555,1,-0.2206925528359815,0.41916829073335465
20,1546628400,2188,1104,0,3292,1,-0.45286005098266097,2.2570193323921774
20,1546642800,1307,434,0,1741,1,-0.45286005098266097,0.6159675387175464
20,1546657200,225,64,0,289,1,-0.45286005098266097,-0.920336268126789
20,1546671600,35,89,54,124,1,-0.36639767236251825,-1.0949162461772817
20,1546686000,102,343,241,445,1,-0.06698165751128336,-0.755278834333596
20,1546700400,338,532,194,870,1,-0.14223595001400016,-0.30560313329444816
20,1546714800,808,451,0,1259,1,-0.45286005098266097,0.10598239071550118
20,1546729200,579,220,0,799,1,-0.45286005098266097,-0.3807254268798117
