remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
34,1546311600,90,194,104,284,1,1.4720696424115385,-0.708520184019703
34,1546326000,40,84,44,124,1,0.20078263114454836,-1.1766869132834596
34,1546340400,97,93,0,190,1,-0.7314945104512443,-0.98356813746216
34,1546354800,273,221,0,494,1,-0.7314945104512443,-0.09405135186102244
34,1546369200,269,377,108,646,1,1.5568221098293378,0.35070704093954636
34,1546383600,132,238,106,370,1,1.514445876120438,-0.4568805670404338
34,1546398000,29,76,47,105,1,0.26434698170789783,-1.2322817123835306
34,1546412400,78,80,2,158,1,-0.6891182767423445,-1.0772014833149113
34,1546426800,460,374,0,834,1,-0.7314945104512443,0.9008029478244604
34,1546441200,376,275,0,651,1,-0.7314945104512443,0.3653372512290387
34,1546455600,690,549,0,1239,1,-0.7314945104512443,2.0858499812733444
34,1546470000,187,343,156,530,1,2.5738517188429295,0.011286162223322798
34,1546484400,45,101,56,146,1,0.45504003339794635,-1.112313988009693
34,1546498800,103,95,0,198,1,-0.7314945104512443,-0.9601598009989721
34,1546513200,548,381,0,929,1,-0.7314945104512443,1.1787769433248159
34,1546527600,382,305,0,687,1,-0.7314945104512443,0.470674765313384
34,1546542000,632,585,0,1217,1,-0.7314945104512443,2.021477055999578
34,1546556400,225,377,152,602,1,2.4890992514251304,0.22196119039201326
34,1546570800,53,104,51,157,1,0.3490994491256972,-1.0801275253728098
34,1546585200,92,95,3,187,1,-0.6679301598878947,-0.9923462636358554
34,1546599600,498,410,0,908,1,-0.7314945104512443,1.1173300601089478
34,1546614000,386,353,0,739,1,-0.7314945104512443,0.6228289523241048
34,1546628400,557,527,0,1084,1,-0.7314945104512443,1.63231346229908
34,1546642800,261,292,31,553,1,-0.07466288796329944,0.07858512955498781
34,1546657200,71,143,72,214,1,0.7940499030691436,-0.9133431280725964
34,1546671600,55,63,8,118,1,-0.5619895756156456,-1.1942431656308505
34,1546686000,194,221,27,415,1,-0.15941535538109877,-0.32520867443500223
34,1546700400,359,328,0,687,1,-0.7314945104512443,0.470674765313384
34,1546714800,398,392,0,790,1,-0.7314945104512443,0.7720570972769273
34,1546729200,238,293,55,531,1,0.43385191654349653,0.014212204281221278
34,1546743600,67,131,64,198,1,0.624544968233545,-0.9601598009989721
34,1546758000,41,38,0,79,1,-0.7314945104512443,-1.308358805888891
34,1546772400,171,150,0,321,1,-0.7314945104512443,-0.6002566278774593
34,1546786800,385,327,0,712,1,-0.7314945104512443,0.543825816760846
34,1546801200,340,433,93,773,1,1.23900035701259,0.7223143822926531
34,1546815600,162,281,119,443,1,1.7898913952282858,-0.24327949681384484
34,1546830000,52,75,23,127,1,-0.2441678227988981,-1.1679087871097642
34,1546844400,105,91,0,196,1,-0.7314945104512443,-0.9660118851147691
34,1546858800,546,449,0,995,1,-0.7314945104512443,1.3718957191461154
34,1546873200,322,328,6,650,1,-0.6043658093245452,0.3624112091711402
34,1546887600,745,553,0,1298,1,-0.7314945104512443,2.2584864626893544
34,1546902000,198,321,123,519,1,1.874643862646085,-0.020900300413560467
34,1546916400,49,94,45,143,2,0.4440231049175523,-1.1815627158180864
34,1546930800,102,99,0,201,2,-0.5882077293926246,-1.031737783449503
34,1546945200,556,518,0,1074,2,-0.5882077293926246,1.2233857675465907
34,1546959600,355,317,0,672,2,-0.5882077293926246,0.18494399492296001
34,1546974000,566,551,0,1117,2,-0.5882077293926246,1.3344628725784717
34,1546988400,234,404,170,638,2,3.311330978001377,0.09711558629310069
34,1547002800,51,122,71,173,2,1.0404231425189878,-1.1040670611446812
